sample_id,replicate,start_quant,std_type,dilution,bd_load
RKS5902,1,0,genomic,1,0
SFZ2276,1,0,genomic,1,0
DESO1955,1,0.68,genomic,1,3264.0000000000005
RKS21377,1,5382.3396,gblock,1,430587.168
RKS16853,1,0,genomic,1,0
RKS4599,2,51.74,genomic,1,248352
OAZ1386,1,0,genomic,1,0
RKS19823,2,0,gblock,1,0
RKS15353,1,1418.02,genomic,1,6806496
RKS15265,1,0.68,genomic,1,3264.0000000000005
USGS1752,1,0,genomic,1,0
RKS14468,1,53.81,genomic,1,258288
RKS12162,1,0.06,genomic,1,288
RKS8189,1,6.67,genomic,1,32016
RKS18206,1,0,genomic,1,0
RKS8666,1,12.41,genomic,1,59568
RKS3572,2,0.47,genomic,1,2256
RKS17948,1,15.3299,genomic,1,73583.52
DBS313,1,0,genomic,1,0
RKS5892,2,27.03,genomic,1,129744
RKS4909,1,40.85,genomic,1,196080
RKS14598,1,959.9,genomic,1,4607520
RKS17630,1,1.06,genomic,1,5088
RKS16296,1,0,genomic,1,0
RKS14363,1,0.05,genomic,1,240
RKS3536,5,0,genomic,1,0
RKS4743,1,114.32,genomic,1,548736
RKS4121,1,507.79,genomic,1,2437392
RKS13735,1,0,genomic,1,0
RKS2818,1,0,genomic,1,0
RKS2468,2,1.95,genomic,1,9360
RKS10187,1,17.42,genomic,1,83616.00000000001
RKS3559,3,0,genomic,1,0
RKS17388,1,0,genomic,1,0
RKS12064,1,158.64,genomic,1,761471.9999999999
RKS10277,1,0.13,genomic,1,624
RKS21284,1,18.5744,gblock,1,1485.952
RKS6313,1,0.71,genomic,1,3408
RKS7987,1,0.03,genomic,1,144
RKS18180,1,0,genomic,1,0
RKS12803,1,2.26,genomic,1,10847.999999999998
RKS2444,3,0,genomic,1,0
RKS4490,2,430.03,genomic,1,2064143.9999999998
RKS13526,1,7.24,genomic,1,34752
RKS3939,3,0.13,genomic,1,624
RKS12650,1,0,genomic,1,0
RKS6247,1,0.29,genomic,1,1392
DBS302,1,0,genomic,1,0
RKS9936,1,0.03,genomic,1,144
SFZ2540,1,0,genomic,1,0
RKS15988,1,0,genomic,1,0
RKS11582,1,0,genomic,1,0
SFZ1426,1,11.1844,genomic,1,53685.12
RKS8844,1,0,genomic,1,0
RKS12980,1,73.98,genomic,1,355104
RKS20326,2,1719,gblock,1,137520
RKS4214,1,0,genomic,1,0
RKS1820,1,0,genomic,1,0
RKS12988,1,1.39,genomic,1,6671.999999999999
USGS1719,1,0.97,genomic,1,4656
RKS12052,1,0,genomic,1,0
RKS10591,1,57.4,genomic,1,275520
OAZ1135,1,5.1615,genomic,1,24775.2
RKS3202,3,0.13,genomic,1,624
RKS15758,1,0,genomic,1,0
RKS14640,1,11.61,genomic,1,55728
SFZ2267,1,0,genomic,1,0
RKS19374,1,0.4129,genomic,1,1981.92
RKS15572,1,0,genomic,1,0
RKS15963,1,0,genomic,1,0
RKS5874,2,4.04,genomic,1,19392
DESO1230,1,0,genomic,1,0
RKS9594,1,0.47,genomic,1,2256
RKS4815,2,3.4,genomic,1,16320
RKS2558,1,0,genomic,1,0
RKS9935,1,98.08,genomic,1,470784
RKS7049,1,0,genomic,1,0
RKS13628,1,0,genomic,1,0
RKS10329,1,27.76,genomic,1,133248
DESO1673,1,0.47,genomic,1,2256
RKS8606,1,0,genomic,1,0
RKS7260,1,1.94,genomic,1,9312
RKS4574,2,16.54,genomic,1,79392
DESO1493,1,0.12,genomic,1,576
RKS14601,1,0,genomic,1,0
RKS23818,1,104.0353,plasmid,1,8322.824
RKS11182,1,0,genomic,1,0
RKS15158,1,0.05,genomic,1,240
RKS5667,2,0.15,genomic,1,720
RKS13938,2,87.66,genomic,1,420768
RKS20201,2,1232713,gblock,1,98617040
RKS5710,1,54.01,genomic,1,259248
RKS19932,2,72687,gblock,1,5814960
SFZ1459,1,73.8713,genomic,1,354582.24
RKS15628,2,0,genomic,1,0
RKS18018,1,1.45,genomic,1,6960
SFZ1863,1,0,genomic,1,0
RKS8302,1,104.92,genomic,1,503616
RKS5144,1,0.14,genomic,1,672.0000000000001
RKS10973,1,0.35,genomic,1,1680
RKS4566,2,0.08,genomic,1,384
MBJ067,1,0,genomic,1,0
RKS11798,1,128.3,genomic,1,615840
RKS4053,1,0,genomic,1,0
RKS19514,1,114.7221,genomic,1,550666.08
RKS14273,1,0,genomic,1,0
RKS1715,1,16.34,genomic,1,78432
MBJ013,1,0,genomic,1,0
RKS12331,1,6.08,genomic,1,29184
USGS1035,1,0,genomic,1,0
RKS6400,1,5.29,genomic,1,25392
RKS1915,2,0,genomic,1,0
RKS18211,1,0.206,genomic,1,988.8
RKS9588,1,6.27,genomic,1,30095.999999999996
DBS238,1,0,genomic,1,0
RKS8243,1,0.03,genomic,1,144
DESO1170,1,0.02,genomic,1,96
RKS19591,2,28961,gblock,1,2316880
SFZ1445,1,39.4314,genomic,1,189270.72
RKS4954,2,7.57,genomic,1,36336
SFZ1535,1,4.8573,genomic,1,23315.04
RKS2426,2,1.99,genomic,1,9552
RKS14542,1,0,genomic,1,0
RKS6207,1,0.02,genomic,1,96
RKS1648,1,0,genomic,1,0
RKS11732,1,11.46,genomic,1,55008.00000000001
RKS4760,1,0.41,genomic,1,1967.9999999999998
RKS7389,1,0.26,genomic,1,1248
RKS6450,1,0.14,genomic,1,672.0000000000001
RKS17568,1,0.0219,genomic,1,105.12
RKS13000,1,68.97,genomic,1,331056
OAZ1127,1,6.7203,genomic,1,32257.44
RKS17986,1,5.3887,genomic,1,25865.76
RKS15995,1,0,genomic,1,0
RKS7400,1,0.38,genomic,1,1824
RKS20371,2,4505,gblock,1,360400
RKS18321,1,0.1028,genomic,1,493.44
RKS11050,1,11,genomic,1,52800
RKS18842,2,449,gblock,1,35920
RKS12998,1,73.38,genomic,1,352224
DESO1709,1,0.25,genomic,1,1200
YFS264,1,0.7,genomic,1,3360
RKS8432,1,12.12,genomic,1,58175.99999999999
RKS9183,1,0,genomic,1,0
SFZ1351,1,16.9745,genomic,1,81477.6
RKS4280,3,0,genomic,1,0
RKS17232,1,0,genomic,1,0
RKS4825,1,0.01,genomic,1,48
RKS15881,1,0,genomic,1,0
SFZ2324,1,0,genomic,1,0
RKS19800,2,237230,gblock,1,18978400
RKS1772,1,0,genomic,1,0
RKS8220,1,0.07,genomic,1,336.00000000000006
RKS16127,2,0.03,genomic,1,144
RKS2876,1,0,genomic,1,0
RKS17883,1,0.2054,genomic,1,985.92
RKS9830,1,0.16,genomic,1,768
DESO2142,1,3.78,genomic,1,18144
RKS7403,1,0,genomic,1,0
RKS19530,1,5.2173,genomic,1,25043.04
RKS7800,1,112.04,genomic,1,537792
USGS1582,1,0.4,genomic,1,1920
RKS7690,1,0.84,genomic,1,4032
RKS2355,1,0.03,genomic,1,144
RKS10269,1,23.27,genomic,1,111696
RKS17032,1,0,genomic,1,0
RKS13542,1,0,genomic,1,0
DESO2378,1,1.35,genomic,1,6480
OAZ1011,1,0,genomic,1,0
RKS5297,1,10.89,genomic,1,52272
DESO1146,1,0,genomic,1,0
RKS15558,1,0,genomic,1,0
RKS7393,1,0,genomic,1,0
DESO1131,1,0,genomic,1,0
RKS8277,1,0.66,genomic,1,3168
RKS2433,1,4.34,genomic,1,20832
RKS5852,1,0.18,genomic,1,864
RKS11708,1,42.59,genomic,1,204432.00000000003
RKS5858,1,0.63,genomic,1,3024
RKS14415,1,1070.62,genomic,1,5138975.999999999
RKS9536,1,0,genomic,1,0
YFS196,1,1.69,genomic,1,8112
RKS8043,1,4.34,genomic,1,20832
RKS14484,1,0.03,genomic,1,144
OAZ1200,1,46.6867,genomic,1,224096.16
RKS14962,1,517.94,genomic,1,2486112.0000000005
RKS12805,1,652.32,genomic,1,3131136.0000000005
RKS3692,3,0.85,genomic,1,4080
RKS20460,2,94959,gblock,1,7596720
RKS18297,1,0.45,genomic,1,2160
RKS3791,5,0.05,genomic,1,240
RKS21611,1,18679.8588,gblock,1,1494388.704
OAZ1459,1,6.3983,gblock,1,511.864
RKS17136,1,0,genomic,1,0
RKS14171,1,0,genomic,1,0
RKS14796,1,179.9,genomic,1,863520
RKS17791,1,32.91,genomic,1,157967.99999999997
OAZ1181,1,3.837,genomic,1,18417.6
RKS10288,1,1.8,genomic,1,8640
RKS10768,1,5.05,genomic,1,24240
SFZ2791,1,0,gblock,1,0
RKS5655,2,0.07,genomic,1,336.00000000000006
RKS14788,1,162.4,genomic,1,779520
SFZ2031,1,0,genomic,1,0
RKS16370,1,0.21,genomic,1,1008
RKS3916,1,0,genomic,1,0
RKS1699,1,0.85,genomic,1,4080
RKS21939,1,3387.1801,gblock,1,270974.408
RKS19476,1,0,genomic,1,0
RKS10593,1,1.67,genomic,1,8016
RKS21645,1,0,gblock,1,0
RKS8293,1,0.06,genomic,1,288
RKS15101,1,0,genomic,1,0
RKS14211,1,0,genomic,1,0
SFZ2219,1,0,genomic,1,0
RKS2528,2,55623.8,genomic,1,266994240
RKS21280,1,0,gblock,1,0
YFS277,1,0,genomic,1,0
RKS9512,1,0.69,genomic,1,3311.9999999999995
RKS6354,1,0,genomic,1,0
RKS6930,1,0.92,genomic,1,4416
OAZ1101,1,7.4223,genomic,1,35627.04
RKS13254,1,0,genomic,1,0
RKS2767,1,0,genomic,1,0
RKS15500,1,0,genomic,1,0
RKS7226,1,9.88,genomic,1,47424.00000000001
RKS21026,1,8,gblock,1,640
OAZ1348,1,0,genomic,1,0
RKS4164,3,0.11,genomic,1,528
SFZ2624,1,0,genomic,1,0
RKS8564,1,2.94,genomic,1,14112
RKS4657,1,125.2,genomic,1,600960
DESO2593,1,0,genomic,1,0
RKS3523,4,0,genomic,1,0
RKS8610,1,0,genomic,1,0
RKS8310,1,24.24,genomic,1,116351.99999999999
RKS21400,1,6417.7698,gblock,1,513421.584
RKS3869,1,5.23,genomic,1,25104.000000000004
RKS12428,1,15.15,genomic,1,72720
RKS14882,1,0,genomic,1,0
SFZ1489,1,9.3193,genomic,1,44732.64
RKS6549,1,0,genomic,1,0
RKS19761,1,160.7486,genomic,1,771593.28
RKS9140,1,263.5,genomic,1,1264800
RKS4046,1,9.68,genomic,1,46464
RKS14842,1,0,genomic,1,0
SFZ1515,1,9.6716,genomic,1,46423.68
RKS16881,1,0,genomic,1,0
RKS20501,1,941.5093,genomic,1,4519244.64
RKS18872,2,19,gblock,1,1520
RKS20254,2,0,gblock,1,0
SFZ2751,1,106397.1367,gblock,1,8511770.936
DESO1357,1,0.06,genomic,1,288
RKS7103,1,19.27,genomic,1,92496
RKS4092,3,3.64,genomic,1,17472
RKS9157,1,0.81,genomic,1,3888.0000000000005
RKS1879,1,0.33,genomic,1,1584
RKS7445,1,0,genomic,1,0
RKS3861,3,24.4,genomic,1,117120
RKS18740,1,11.2985,genomic,1,54232.8
RKS17046,1,0,genomic,1,0
RKS13931,1,0,genomic,1,0
SFZ2717,1,0,genomic,1,0
RKS3636,1,0,genomic,1,0
RKS20421,1,2442.0156,genomic,1,11721674.88
DESO1827,1,0,genomic,1,0
RKS8812,1,0.14,genomic,1,672.0000000000001
RKS11490,1,0,genomic,1,0
RKS4620,1,0,genomic,1,0
YFS404,1,0.02,genomic,1,96
RKS14247,1,0.07,genomic,1,336.00000000000006
DESO1670,1,0.77,genomic,1,3696
SFZ1979,1,0,genomic,1,0
SFZ1793,1,0,genomic,1,0
RKS10196,1,49.87,genomic,1,239376
RKS3246,1,0,genomic,1,0
RKS18462,1,0.193,genomic,1,926.4
USGS1058,1,0,genomic,1,0
RKS7257,1,0,genomic,1,0
RKS19646,2,86509,gblock,1,6920720
RKS9198,1,5.27,genomic,1,25295.999999999996
RKS3683,1,0.03,genomic,1,144
DBS335,1,0,genomic,1,0
RKS2535,3,3.21,genomic,1,15408
RKS7166,1,0,genomic,1,0
DESO2374,1,0.22,genomic,1,1056
RKS18503,1,3.0533,genomic,1,14655.84
RKS6003,2,0.51,genomic,1,2448
RKS3642,1,0,genomic,1,0
RKS4279,2,0,genomic,1,0
RKS3789,5,3.45,genomic,1,16560
RKS3810,2,0.13,genomic,1,624
RKS11447,1,0,genomic,1,0
RKS4070,1,0.08,genomic,1,384
DESO2483,1,0.62,genomic,1,2976
OAZ1232,1,0,genomic,1,0
RKS2432,2,3.17,genomic,1,15216
RKS11722,1,1921.02,genomic,1,9220896
RKS6556,1,0,genomic,1,0
RKS8228,1,0.05,genomic,1,240
RKS5321,1,69.84,genomic,1,335232
RKS4086,1,0.41,genomic,1,1967.9999999999998
RKS14374,1,0,genomic,1,0
RKS20591,1,0.2093,genomic,1,1004.64
RKS12878,1,0,genomic,1,0
RKS10670,1,0,genomic,1,0
RKS13494,2,0,genomic,1,0
RKS8816,1,0,genomic,1,0
RKS21540,1,0,gblock,1,0
RKS4510,2,39.41,genomic,1,189167.99999999997
RKS5238,1,0,genomic,1,0
RKS20532,1,0,gblock,1,0
RKS6675,1,2.16,genomic,1,10368
DESO2564,1,0,genomic,1,0
RKS19376,2,1668,gblock,1,133440
RKS16832,1,0,genomic,1,0
RKS19983,2,16139,gblock,1,1291120
RKS3737,1,1.52,genomic,1,7296
RKS14364,1,0,genomic,1,0
DESO1956,1,0.53,genomic,1,2544
RKS19588,2,27464,gblock,1,2197120
DESO2689,1,9.23,genomic,1,44304
RKS12695,1,0,genomic,1,0
